[09/Mar/2015 05:30:49] DEBUG [django.db.backends:79] (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'c8nefzhyo802oh6udue43lmrrhorkf1n'  AND `django_session`.`expire_date` > '2015-03-09 05:30:49' ); args=('c8nefzhyo802oh6udue43lmrrhorkf1n', u'2015-03-09 05:30:49')
[09/Mar/2015 05:30:49] DEBUG [django.db.backends:79] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
[09/Mar/2015 05:30:49] DEBUG [django.db.backends:79] (0.000) SELECT COUNT(*) FROM `access_dailypath`; args=()
[09/Mar/2015 05:30:49] DEBUG [django.db.backends:79] (0.000) SELECT `access_dailypath`.`id`, `access_dailypath`.`path`, `access_dailypath`.`dailyType`, `access_dailypath`.`SaveYesNo` FROM `access_dailypath` ORDER BY `access_dailypath`.`id` DESC; args=()
[09/Mar/2015 05:30:49] DEBUG [django.db.backends:79] (0.003) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'c8nefzhyo802oh6udue43lmrrhorkf1n'  AND `django_session`.`expire_date` > '2015-03-09 05:30:49' ); args=('c8nefzhyo802oh6udue43lmrrhorkf1n', u'2015-03-09 05:30:49')
[09/Mar/2015 05:30:49] DEBUG [django.db.backends:79] (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
[09/Mar/2015 05:30:51] DEBUG [django.db.backends:79] (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'c8nefzhyo802oh6udue43lmrrhorkf1n'  AND `django_session`.`expire_date` > '2015-03-09 05:30:51' ); args=('c8nefzhyo802oh6udue43lmrrhorkf1n', u'2015-03-09 05:30:51')
[09/Mar/2015 05:30:51] DEBUG [django.db.backends:79] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
[09/Mar/2015 05:30:51] DEBUG [django.db.backends:79] (0.000) SELECT `access_dailypath`.`id`, `access_dailypath`.`path`, `access_dailypath`.`dailyType`, `access_dailypath`.`SaveYesNo` FROM `access_dailypath` WHERE `access_dailypath`.`id` = 1 ; args=(1,)
[09/Mar/2015 05:30:51] DEBUG [django.db.backends:79] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`name`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'dailypath'  AND `django_content_type`.`app_label` = 'access' ); args=('dailypath', u'access')
[09/Mar/2015 05:30:51] DEBUG [django.db.backends:79] (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'c8nefzhyo802oh6udue43lmrrhorkf1n'  AND `django_session`.`expire_date` > '2015-03-09 05:30:51' ); args=('c8nefzhyo802oh6udue43lmrrhorkf1n', u'2015-03-09 05:30:51')
